1.138513089761537e-11, 1799.513381995134
1.5243987765659024e-11, 1721.6545012165452
1.9128906344201186e-11, 1646.2287104622872
2.4795119013000298e-11, 1582.9683698296838
3.111413605706852e-11, 1529.440389294404
3.779764908822376e-11, 1483.211678832117
5.0608719869196816e-11, 1422.3844282238442
5.7618690027155354e-11, 1361.5571776155718
6.776195315271152e-11, 1293.4306569343064
6.350631327313476e-11, 1254.5012165450123
4.303311824915579e-11, 1108.515815085158
3.779764908822376e-11, 1030.6569343065694
4.4451592453624646e-11, 974.6958637469585
4.59168229507027e-11, 950.3649635036495
4.743035093930029e-11, 918.7347931873478
4.899376841991994e-11, 891.9708029197078
4.4451592453624646e-11, 828.7104622871044
4.4451592453624646e-11, 789.7810218978101
4.899376841991994e-11, 753.2846715328466
5.0608719869196816e-11, 743.5523114355229
5.0608719869196816e-11, 714.3552311435523
5.0608719869196816e-11, 699.7566909975667
4.165990831887127e-11, 665.6934306569342
3.319913440445412e-11, 614.5985401459852
3.779764908822376e-11, 575.6690997566907
4.743035093930029e-11, 541.6058394160582
5.5780046662824265e-11, 485.64476885644746
6.350631327313476e-11, 456.44768856447666
7.71478706521701e-11, 424.81751824817496
9.371972075541263e-11, 398.053527980535
1.3830728955554377e-10, 361.5571776155715
1.792755760934969e-10, 329.9270072992698
2.1083546298861607e-10, 305.59610705596083
2.249638190225193e-10, 295.8637469586372
